forecast_period,realization,swmi1,swmi2,nemi,nemo
2025-06-15,011,-4.102499,7.1775856,3.7410717,0.7069279
2025-06-15,012,-2.1231549,5.7696543,3.017857,1.9279927
2025-06-15,013,-3.5137267,5.641597,3.4489088,3.4263394
2025-06-15,014,-3.6234622,3.2482529,-0.075892836,3.1207838
2025-06-15,015,-6.030659,4.6850977,0.24156749,1.5545635
2025-06-15,016,-3.6695318,1.4840146,0.9310516,1.7805059
2025-06-15,017,-4.26915,4.504804,1.9503969,1.7657077
2025-06-15,018,-1.2434926,4.3488817,4.2624006,2.5238094
2025-06-15,019,-1.1497507,4.579752,4.3159723,2.6286376
2025-06-15,020,-3.7743785,5.890112,3.361607,2.4660218
2025-06-15,021,-2.5850816,2.976852,2.96875,1.2732308
2025-06-15,022,-5.1049924,6.1293674,2.1488094,2.8907905
2025-06-15,023,-5.6325917,6.197851,3.6592264,4.222057
2025-06-15,024,-3.6308925,5.424616,4.844742,2.9938822
2025-06-15,025,-4.013695,6.5808,2.6349206,2.6645172
2025-06-15,026,-6.4834566,7.1823025,1.9895834,3.5429895
2025-06-15,027,-6.624854,5.083945,2.3968253,3.4817295
2025-06-15,028,-7.621147,5.495196,1.8159722,2.9585814
2025-06-15,029,-3.3911064,3.8358665,2.1026788,1.7907573
2025-06-15,030,-2.2022629,3.4471524,2.702877,4.168816
2025-06-15,031,-2.0645719,5.3121943,3.344246,3.0924273
2025-06-15,032,-3.4121666,3.1992488,1.6820436,2.6545966
2025-06-15,033,-5.234816,6.0763454,1.65625,3.9679232
2025-06-15,034,-3.6794062,6.940863,4.330853,3.6426091
2025-06-15,035,-4.443182,6.165793,4.3695436,2.7007275
2025-06-16,000,-3.2686803,5.349144,3.2589285,4.0605984
2025-06-16,001,-0.76793575,2.433438,2.5094247,3.5654762
2025-06-16,002,0.71382093,1.5264676,2.1125991,3.7664518
2025-06-16,003,1.5594082,3.7375088,1.7147818,5.687996
2025-06-16,004,-2.6981676,3.8737772,1.1046627,4.6758432
2025-06-16,005,-4.835632,4.2955103,2.2013888,3.6085482
2025-06-16,006,-0.40421867,5.50166,3.6418653,4.526703
2025-06-16,007,-2.2942083,4.671908,3.4960318,3.3548281
2025-06-16,008,-4.654105,3.7679071,1.3640873,3.6970072
2025-06-16,009,-3.6427417,5.2019567,4.734623,3.368717
2025-06-16,010,-4.5245566,6.6429944,3.5411706,4.2065144
2025-06-16,011,-2.0336862,5.3014503,4.6979165,0.8369709
2025-06-16,012,-6.2744436,4.803721,-0.7123016,3.0051258
2025-06-16,013,-0.8780594,4.597572,3.2772818,2.6946099
2025-06-16,014,1.1658573,4.672519,5.9097223,4.377315
2025-06-16,015,3.4238214,4.094864,1.8804564,3.0646496
2025-06-16,016,-0.07269812,1.447327,1.327877,2.5724206
2025-06-16,017,-2.712445,2.6677148,3.4146826,1.0597718
2025-06-16,018,-1.5358877,4.6575823,4.2534723,3.0968916
2025-06-16,019,2.3944411,4.435185,3.2852182,4.1167326
2025-06-16,020,-1.4567795,5.31036,1.6473213,3.115658
2025-06-16,021,0.8935509,2.9499476,4.207837,3.9575067
2025-06-16,022,-0.30181623,6.188155,3.641865,3.3587964
2025-06-16,023,-1.259664,6.1464887,4.2906747,4.2356977
2025-06-16,024,1.5941141,4.4618273,6.7931547,5.736111
2025-06-16,025,-1.0201373,3.5177324,3.4186509,3.5961475
2025-06-16,026,-0.77497745,4.0518866,1.4136904,3.9198909
2025-06-16,027,-3.2887204,5.604123,4.7891865,5.6505456
2025-06-16,028,-4.3178744,4.838749,0.7797619,5.061673
2025-06-16,029,-3.8090682,2.7829316,1.0049603,2.488674
2025-06-16,030,-5.2914076,3.3739517,0.71428573,3.6007771
2025-06-16,031,-0.4780984,6.603599,4.3983135,5.892361
2025-06-16,032,2.3643813,3.0888364,2.8060517,3.0610945
2025-06-16,033,-2.034172,5.194008,4.047123,3.533482
2025-06-16,034,-1.450094,7.0481305,3.9469247,2.1196263
2025-06-16,035,0.171345,5.62334,4.2876983,3.8640046
2025-06-17,000,-2.4242587,5.501572,2.0639882,2.6835318
2025-06-17,001,0.9957589,2.641422,2.0034723,1.7500827
2025-06-17,002,3.1509485,2.6720824,4.547123,3.4474206
2025-06-17,003,-4.8500223,3.6968904,0.22073412,4.989997
2025-06-17,004,-5.2960534,5.0100455,2.2911706,3.9370866
2025-06-17,005,-3.4868557,4.564553,3.645337,3.631035
2025-06-17,006,-1.3135684,5.7286863,5.341766,1.0608466
2025-06-17,007,3.8820093,5.1160026,7.483135,3.4386575
2025-06-17,008,-2.3957686,3.5494409,2.7013888,3.3048115
2025-06-17,009,-4.732631,6.143431,1.7633927,4.925678
2025-06-17,010,-2.796183,8.334557,3.2881944,1.2655423
2025-06-17,011,-1.6584759,6.0470824,4.327877,0.5387731
2025-06-17,012,-4.564167,3.1792452,-0.18700396,1.0571263
2025-06-17,013,5.002169,4.0555553,3.8799605,3.5406747
2025-06-17,014,-1.2199883,3.7781272,3.75248,3.9897487
2025-06-17,015,1.5943897,7.6748776,4.551587,4.832424
2025-06-17,016,-0.62124455,1.464972,2.1994047,4.024471
2025-06-17,017,-1.2193084,2.0421035,2.3546627,2.630291
2025-06-17,018,4.4827604,2.9319532,2.87252,3.047123
2025-06-17,019,6.22185,3.90732,5.7782736,2.5100033
2025-06-17,020,1.1604993,6.7173305,4.071924,1.5048777
2025-06-17,021,5.1140413,4.88094,2.8998015,3.8758268
2025-06-17,022,2.1856384,5.8509784,5.733631,4.1815476
2025-06-17,023,1.625113,6.498515,3.8100197,2.3260581
2025-06-17,024,3.0442078,5.379717,7.7559524,5.4780917
2025-06-17,025,-5.770299,4.4571977,-0.23859125,5.2425594
2025-06-17,026,-0.5917671,5.958508,0.9717261,4.241981
2025-06-17,027,-0.26084566,7.2986546,6.0868053,1.8478836
2025-06-17,028,2.8176153,6.6953177,4.735119,4.06002
2025-06-17,029,-2.1771398,4.0486546,0.34126985,2.5
2025-06-17,030,-3.0631313,4.4495983,2.5788689,3.8559027
2025-06-17,031,0.0927546,7.707285,2.187996,4.436921
2025-06-17,032,4.2397532,5.549179,4.2509923,2.9824736
2025-06-17,033,4.825094,5.0684834,8.546627,4.7883596
2025-06-17,034,-3.5313876,5.057128,0.21329367,2.577381
2025-06-17,035,0.025705814,6.188592,2.9856153,2.1443453
2025-06-18,000,0.77324533,4.6847486,3.4920635,1.4465113
2025-06-18,001,6.0860853,2.5801888,4.4315476,1.6065642
2025-06-18,002,-0.34413028,5.27376,3.6443453,2.4845405
2025-06-18,003,-2.9904819,1.0774808,-0.21180552,1.2022156
2025-06-18,004,-3.7163625,4.640112,0.5014881,3.1035054
2025-06-18,005,-1.6404266,3.9464536,2.3874009,1.1080523
2025-06-18,006,1.0420227,5.111635,4.7088294,1.8010913
2025-06-18,007,2.732469,4.7719254,3.924107,2.5749834
2025-06-18,008,0.19899297,4.099668,3.0376985,0.61648476
2025-06-18,009,-0.013241291,4.0374737,3.4652777,2.4953704
2025-06-18,010,-3.4907084,8.53957,2.8055556,0.39335316
2025-06-18,011,-2.253869,4.883211,2.3164682,-0.83176255
2025-06-18,012,4.8045197,5.476852,4.813492,3.7127976
2025-06-18,013,-3.496212,6.600716,1.0178571,3.285549
2025-06-18,014,-0.5868136,2.254018,0.95734125,2.0325727
2025-06-18,015,-2.4252787,6.3489695,1.061012,2.8578868
2025-06-18,016,2.7668676,2.0884871,3.635913,1.7249504
2025-06-18,017,-0.51092654,1.4310796,3.031746,1.4126984
2025-06-18,018,3.2565076,6.9690776,4.4265876,3.6729498
2025-06-18,019,1.3195417,5.472135,1.2147818,1.5331515
2025-06-18,020,-1.8701112,7.4107265,4.9320436,0.8106812
2025-06-18,021,-0.6381767,8.174616,4.8293653,1.9547784
2025-06-18,022,4.313358,6.379455,5.2981153,3.3120039
2025-06-18,023,1.2422299,4.597921,2.1909723,3.0920138
2025-06-18,024,-1.3072715,8.567523,6.1116076,4.9145174
2025-06-18,025,-3.9331942,4.373253,0.43005952,4.743221
2025-06-18,026,0.45721626,9.1855345,4.453373,4.263889
2025-06-18,027,2.249482,5.739343,3.0401785,1.042824
2025-06-18,028,-0.6518227,3.37203,0.5813492,0.30092594
2025-06-18,029,-1.4779688,5.544287,2.270337,0.3770668
2025-06-18,030,-1.0700272,4.6470127,3.90625,5.105076
2025-06-18,031,-0.6221671,6.1317263,3.7361112,5.95668
2025-06-18,032,1.7946938,5.5808873,1.4920634,2.0696099
2025-06-18,033,1.7066014,7.0505767,4.7003965,3.3463128
2025-06-18,034,-1.4482162,4.263976,2.1532738,0.8150628
2025-06-18,035,3.5913463,5.206237,3.510913,2.1032572
